key,value,Recommended SOS Value Normalization
Sub S corpor,Sub S corporation,Sub S corporation
Subchapter S,Subchapter S,
Subsidiary,Subsidiary,
Tenant Assoc,Tenant Assoc,
Tenants in C,Tenants in Common,Tenants in Common
TIC,TIC,
Trade mark,Trademark,
Trade name,Trade Name,
Trade Name (,Trade Name,Trade Name
Trade Name A,Trade Name,Trade Name
Trade name t,Trade Name,Trade Name
Tradename,Trade Name,
Tradename fo,Trade Name,
TrafficBroke,TrafficBroke,
TrafficSwarm,TrafficSwarm,
Trust,Trust,
UNA,UNA,
Unincorporat,Unincorporated,Unincorporated
Victory Chap,Victory Chap,
volunteer,Volunteer,
Volunteer Gr,Volunteer Gr,
We are consi,We are consi,
weekly suppo,weekly suppo,
Womens Club,Womens Club,
Youth Baseba,Youth Baseball,
Youth sports,Youth Sports,
